Code       Position   
int        (-1, -1)   
           (-1, -1)   
id         (7, 0)     
\ n        (-1, -1)   
int        (-1, -1)   
           (-1, -1)   
id         (8, 0)     
\ n        (-1, -1)   
\ n        (-1, -1)   
id         (7, 0)     
           (-1, -1)   
=          (-1, -1)   
           (-1, -1)   
const      (7, 1)     
\ n        (-1, -1)   
id         (8, 0)     
           (-1, -1)   
=          (-1, -1)   
           (-1, -1)   
id         (7, 0)     
           (-1, -1)   
*          (-1, -1)   
           (-1, -1)   
const      (1, 0)     
\ n        (-1, -1)   
\ n        (-1, -1)   
if         (-1, -1)   
           (-1, -1)   
id         (7, 0)     
           (-1, -1)   
<          (-1, -1)   
           (-1, -1)   
id         (8, 0)     
:          (-1, -1)   
\ n        (-1, -1)   
           (-1, -1)   
           (-1, -1)   
           (-1, -1)   
           (-1, -1)   
write      (-1, -1)   
(          (-1, -1)   
id         (7, 0)     
)          (-1, -1)   
